run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20240512-15:50:03-40521,runattr,,,configname,General,,
General-0-20240512-15:50:03-40521,runattr,,,datetime,20240512-15:50:03,,
General-0-20240512-15:50:03-40521,runattr,,,datetimef,20240512-155003,,
General-0-20240512-15:50:03-40521,runattr,,,experiment,General,,
General-0-20240512-15:50:03-40521,runattr,,,inifile,omnetpp.ini,,
General-0-20240512-15:50:03-40521,runattr,,,iterationvars,,,
General-0-20240512-15:50:03-40521,runattr,,,iterationvarsd,,,
General-0-20240512-15:50:03-40521,runattr,,,iterationvarsf,,,
General-0-20240512-15:50:03-40521,runattr,,,measurement,,,
General-0-20240512-15:50:03-40521,runattr,,,network,Network,,
General-0-20240512-15:50:03-40521,runattr,,,processid,40521,,
General-0-20240512-15:50:03-40521,runattr,,,repetition,0,,
General-0-20240512-15:50:03-40521,runattr,,,replication,#0,,
General-0-20240512-15:50:03-40521,runattr,,,resultdir,results,,
General-0-20240512-15:50:03-40521,runattr,,,runnumber,0,,
General-0-20240512-15:50:03-40521,runattr,,,seedset,0,,
General-0-20240512-15:50:03-40521,config,,,network,Network,,
General-0-20240512-15:50:03-40521,config,,,sim-time-limit,200s,,
General-0-20240512-15:50:03-40521,config,,,Network.nodeTx.gen.generationInterval,exponential(3.2),,
General-0-20240512-15:50:03-40521,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20240512-15:50:03-40521,config,,,Network.queue.bufferSize,200,,
General-0-20240512-15:50:03-40521,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20240512-15:50:03-40521,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20240512-15:50:03-40521,config,,,Network.queue.serviceTime,exponential(0.001),,
General-0-20240512-15:50:03-40521,config,,,Network.nodeTx.queue.serviceTime,exponential(0.001),,
General-0-20240512-15:50:03-40521,config,,,Network.nodeRx.queue.serviceTime,exponential(0.001),,
General-0-20240512-15:50:03-40521,vector,Network.nodeTx.gen,packetSent,,,"0 5.950733478639 8.905047499346 15.149992574176 17.669036222118 23.681721195567 25.445076352912 28.571496917371 31.893606679495 33.446016803404 35.28767823343 36.41778747867 43.533065629186 43.719896570284 54.327615866055 55.346355516749 56.893882252584 58.972110566987 63.992578143381 69.343653984421 71.752211147022 73.84463536213 76.530820491411 78.127210920262 86.441623994979 92.228405640659 92.464198778147 93.781248366123 94.072963649721 97.415723676307 97.481085559184 98.950679598401 104.670640121405 114.751183893168 119.569693520808 120.053632252536 126.58263787795 133.113492968868 145.418202950122 147.471672302692 152.608438885289 157.773245524945 159.75381979575 162.105705943557 166.958621060326 170.593625673799 170.996423784001 175.077152431117 178.345734429034 181.137162253169 181.632297230769 184.098968137864 193.361113667423 197.909480643723","0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53"
